Country,WF,WTG,Generation,Type,Power,Component,Material Code,Material Description,'Consumption'[Date],Age (d),Sum of Q,Unit,Order,Order Exchange
Turkey,WFG-TU-03,90237,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-04-04 00:00:00,388,2,PCE,SYN-ORD-974522,SYN-EX-02
France,WFG-FR-02,89888,SIGMA,N90,2500,Gearbox,GBX-2044,Gearbox service component,2021-03-28 00:00:00,391,1,PCE,SYN-ORD-865720,SYN-EX-06
USA,WFG-US-03,89053,SIGMA,N100,2500,Main Bearing,BRG-2208,Main bearing assembly,2017-07-27 00:00:00,394,1,PCE,SYN-ORD-813914,SYN-EX-01
Germany,WFG-GE-03,86819,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-07-08 00:00:00,397,1,PCE,SYN-ORD-959016,SYN-EX-09
Finland,WFG-FI-01,88891,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-12-11 00:00:00,398,1,PCE,SYN-ORD-906443,SYN-EX-02
United Kingdom,WFG-UN-03,88752,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-04-04 00:00:00,398,1,PCE,SYN-ORD-733647,SYN-EX-07
Portugal,WFG-PO-03,89612,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2017-06-23 00:00:00,402,1,PCE,SYN-ORD-926842,SYN-EX-09
France,WFG-FR-02,89113,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-10-27 00:00:00,418,1,PCE,SYN-ORD-858843,SYN-EX-06
Lithuania,WFG-LI-02,89688,DELTA,N131,3600,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2019-11-07 00:00:00,418,2,PCE,SYN-ORD-839834,SYN-EX-03
Greece,WFG-GR-03,90025,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2019-10-24 00:00:00,420,1,PCE,SYN-ORD-798381,SYN-EX-08
Poland,WFG-PO-03,88982,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-03-29 00:00:00,422,1,PCE,SYN-ORD-828113,SYN-EX-06
France,WFG-FR-02,90434,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-04-01 00:00:00,423,1,PCE,SYN-ORD-913020,SYN-EX-03
Turkey,WFG-TU-03,87459,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2021-07-27 00:00:00,428,1,PCE,SYN-ORD-851619,SYN-EX-06
Germany,WFG-GE-03,88312,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-04-22 00:00:00,440,1,PCE,SYN-ORD-757319,SYN-EX-05
Germany,WFG-GE-03,88324,SIGMA,N100,2500,Main Bearing,BRG-2208,Main bearing assembly,2022-05-29 00:00:00,440,1,PCE,SYN-ORD-924708,SYN-EX-07
Ireland,WFG-IR-02,89709,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-07-19 00:00:00,442,1,PCE,SYN-ORD-977848,SYN-EX-01
Portugal,WFG-PO-03,87202,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-04-05 00:00:00,442,2,PCE,SYN-ORD-833273,SYN-EX-03
Lithuania,WFG-LI-02,86752,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-04-27 00:00:00,444,1,PCE,SYN-ORD-937111,SYN-EX-01
France,WFG-FR-02,86787,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2022-08-27 00:00:00,445,1,PCE,SYN-ORD-714912,SYN-EX-01
Turkey,WFG-TU-03,88065,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2020-08-09 00:00:00,453,1,PCE,SYN-ORD-992443,SYN-EX-04
Turkey,WFG-TU-03,90304,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-04-11 00:00:00,454,1,PCE,SYN-ORD-725557,SYN-EX-08
France,WFG-FR-02,88793,SIGMA,N170,6800,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-05-23 00:00:00,455,1,PCE,SYN-ORD-713030,SYN-EX-03
Germany,WFG-GE-03,90017,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-04-20 00:00:00,463,1,PCE,SYN-ORD-855419,SYN-EX-04
Turkey,WFG-TU-03,88863,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-11-11 00:00:00,467,1,PCE,SYN-ORD-986771,SYN-EX-07
France,WFG-FR-02,88837,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2019-05-21 00:00:00,471,1,PCE,SYN-ORD-827330,SYN-EX-01
Ireland,WFG-IR-02,87480,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-12-30 00:00:00,475,1,PCE,SYN-ORD-962017,SYN-EX-01
Turkey,WFG-TU-03,90485,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-02-12 00:00:00,477,1,PCE,SYN-ORD-788451,SYN-EX-02
Finland,WFG-FI-01,87408,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-08-27 00:00:00,481,2,PCE,SYN-ORD-976634,SYN-EX-08
Ireland,WFG-IR-02,88762,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-12-27 00:00:00,482,1,PCE,SYN-ORD-983400,SYN-EX-03
France,WFG-FR-02,89589,DELTA,N100,1800,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-01-17 00:00:00,484,1,PCE,SYN-ORD-869679,SYN-EX-02
Finland,WFG-FI-01,87246,SIGMA,N90,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2020-07-27 00:00:00,485,1,PCE,SYN-ORD-705579,SYN-EX-05
Netherlands,WFG-NE-03,88453,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2023-12-11 00:00:00,488,1,PCE,SYN-ORD-934701,SYN-EX-07
Turkey,WFG-TU-03,86905,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2022-02-01 00:00:00,489,1,PCE,SYN-ORD-981433,SYN-EX-05
France,WFG-FR-02,90274,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2018-02-09 00:00:00,489,1,PCE,SYN-ORD-959824,SYN-EX-04
Ireland,WFG-IR-02,87299,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2024-04-18 00:00:00,490,1,PCE,SYN-ORD-796353,SYN-EX-07
Germany,WFG-GE-03,86449,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-02-15 00:00:00,499,1,PCE,SYN-ORD-822380,SYN-EX-06
France,WFG-FR-02,90350,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-09-30 00:00:00,499,1,PCE,SYN-ORD-915542,SYN-EX-08
Germany,WFG-GE-03,88000,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2019-09-28 00:00:00,499,1,PCE,SYN-ORD-754740,SYN-EX-05
Poland,WFG-PO-03,89395,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2020-01-23 00:00:00,504,1,PCE,SYN-ORD-904680,SYN-EX-04
Ireland,WFG-IR-02,88868,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-11-20 00:00:00,504,1,PCE,SYN-ORD-898462,SYN-EX-01
Ireland,WFG-IR-02,87472,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-01-03 00:00:00,506,1,PCE,SYN-ORD-910043,SYN-EX-06
Poland,WFG-PO-03,89304,DELTA,N131,3600,Generator,GEN-5210,Generator control module,2018-02-21 00:00:00,508,1,PCE,SYN-ORD-750992,SYN-EX-01
Turkey,WFG-TU-03,89216,GAMMA,N149,4500,Gearbox,GBX-2044,Gearbox service component,2024-05-27 00:00:00,509,2,PCE,SYN-ORD-871323,SYN-EX-03
United Kingdom,WFG-UN-03,87627,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2017-04-08 00:00:00,510,1,PCE,SYN-ORD-803472,SYN-EX-05
Germany,WFG-GE-03,89207,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2016-03-08 00:00:00,512,1,PCE,SYN-ORD-899695,SYN-EX-04
Germany,WFG-GE-03,88096,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-07-19 00:00:00,513,1,PCE,SYN-ORD-810802,SYN-EX-01
Ireland,WFG-IR-02,89280,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2015-08-27 00:00:00,513,1,PCE,SYN-ORD-930805,SYN-EX-07
Turkey,WFG-TU-03,89279,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2022-11-17 00:00:00,513,1,PCE,SYN-ORD-761998,SYN-EX-02
USA,WFG-US-03,87424,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2019-11-24 00:00:00,513,1,PCE,SYN-ORD-935926,SYN-EX-07
Portugal,WFG-PO-03,88632,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-10-11 00:00:00,516,1,PCE,SYN-ORD-896581,SYN-EX-01
United Kingdom,WFG-UN-03,86513,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-08-22 00:00:00,519,1,PCE,SYN-ORD-924640,SYN-EX-09
USA,WFG-US-03,89288,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-08-02 00:00:00,521,2,PCE,SYN-ORD-701492,SYN-EX-09
USA,WFG-US-03,88959,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-06-20 00:00:00,521,1,PCE,SYN-ORD-839841,SYN-EX-06
France,WFG-FR-02,88544,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-10-30 00:00:00,525,1,PCE,SYN-ORD-800468,SYN-EX-02
Germany,WFG-GE-03,86377,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2020-10-15 00:00:00,525,1,PCE,SYN-ORD-925576,SYN-EX-06
Turkey,WFG-TU-03,87600,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2017-12-08 00:00:00,525,1,PCE,SYN-ORD-915126,SYN-EX-03
France,WFG-FR-02,86273,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2025-05-05 00:00:00,527,1,PCE,SYN-ORD-993585,SYN-EX-05
Turkey,WFG-TU-03,90767,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2019-06-23 00:00:00,529,1,PCE,SYN-ORD-965344,SYN-EX-02
Sweden,WFG-SW-03,89593,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-10-21 00:00:00,530,1,PCE,SYN-ORD-830829,SYN-EX-02
France,WFG-FR-02,89526,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2019-11-18 00:00:00,534,1,PCE,SYN-ORD-828578,SYN-EX-05
Germany,WFG-GE-03,89150,GAMMA,N149,4500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2023-05-13 00:00:00,534,1,PCE,SYN-ORD-952508,SYN-EX-04
France,WFG-FR-02,90478,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-06-07 00:00:00,535,1,PCE,SYN-ORD-731445,SYN-EX-04
France,WFG-FR-02,89277,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2022-04-27 00:00:00,535,1,PCE,SYN-ORD-870137,SYN-EX-04
Ireland,WFG-IR-02,88483,DELTA,N131,3600,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2022-11-25 00:00:00,535,1,PCE,SYN-ORD-806181,SYN-EX-03
USA,WFG-US-03,90176,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-07-07 00:00:00,536,1,PCE,SYN-ORD-985138,SYN-EX-02
Poland,WFG-PO-03,86801,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2016-11-16 00:00:00,536,1,PCE,SYN-ORD-868699,SYN-EX-02
Ireland,WFG-IR-02,90638,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-11-15 00:00:00,537,1,PCE,SYN-ORD-710196,SYN-EX-01
Turkey,WFG-TU-03,88108,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2016-10-20 00:00:00,538,1,PCE,SYN-ORD-826036,SYN-EX-05
Netherlands,WFG-NE-03,88653,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2025-08-15 00:00:00,540,2,PCE,SYN-ORD-741135,SYN-EX-01
Germany,WFG-GE-03,90580,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2023-05-20 00:00:00,541,1,PCE,SYN-ORD-984678,SYN-EX-08
Germany,WFG-GE-03,89322,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-07-12 00:00:00,541,1,PCE,SYN-ORD-968285,SYN-EX-08
Germany,WFG-GE-03,90407,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2023-06-14 00:00:00,544,1,PCE,SYN-ORD-809400,SYN-EX-06
Italy,WFG-IT-03,89791,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2018-08-17 00:00:00,544,1,PCE,SYN-ORD-901679,SYN-EX-05
Turkey,WFG-TU-03,86650,DELTA,N125,3000,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-09-28 00:00:00,546,1,PCE,SYN-ORD-928005,SYN-EX-04
Germany,WFG-GE-03,90647,SIGMA,N90,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2023-04-19 00:00:00,547,1,PCE,SYN-ORD-964471,SYN-EX-08
USA,WFG-US-03,89721,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-07-05 00:00:00,548,1,PCE,SYN-ORD-780743,SYN-EX-03
Germany,WFG-GE-03,87947,DELTA,N80,1300,Generator,GEN-4201,Generator control module,2018-02-21 00:00:00,549,1,PCE,SYN-ORD-765919,SYN-EX-06
Ireland,WFG-IR-02,90331,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2022-01-18 00:00:00,550,1,PCE,SYN-ORD-869690,SYN-EX-03
Turkey,WFG-TU-03,88517,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-11-13 00:00:00,552,1,PCE,SYN-ORD-891694,SYN-EX-07
Turkey,WFG-TU-03,88201,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-02-26 00:00:00,554,1,PCE,SYN-ORD-756995,SYN-EX-09
France,WFG-FR-02,87663,DELTA,N131,3600,Generator,GEN-4201,Generator control module,2016-10-29 00:00:00,554,1,PCE,SYN-ORD-914896,SYN-EX-03
United Kingdom,WFG-UN-03,89653,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2017-07-06 00:00:00,556,1,PCE,SYN-ORD-728767,SYN-EX-08
Turkey,WFG-TU-03,87930,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2022-04-17 00:00:00,556,1,PCE,SYN-ORD-721103,SYN-EX-01
Germany,WFG-GE-03,86732,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2024-01-15 00:00:00,558,1,PCE,SYN-ORD-772401,SYN-EX-03
Germany,WFG-GE-03,86711,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2020-02-04 00:00:00,558,1,PCE,SYN-ORD-778635,SYN-EX-02
Croatia,WFG-CR-03,87143,DELTA,N125,3000,Main Bearing,BRG-2208,Main bearing assembly,2020-12-22 00:00:00,559,1,PCE,SYN-ORD-902437,SYN-EX-08
Belgium,WFG-BE-01,87656,DELTA,N125,3000,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-11-01 00:00:00,559,1,PCE,SYN-ORD-972483,SYN-EX-02
Ireland,WFG-IR-02,88116,DELTA,N131,3600,Main Bearing,BRG-1102,Main bearing assembly,2024-07-12 00:00:00,561,1,PCE,SYN-ORD-981429,SYN-EX-04
France,WFG-FR-02,86531,GAMMA,N149,4500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2022-02-15 00:00:00,561,1,PCE,SYN-ORD-863527,SYN-EX-02
Lithuania,WFG-LI-02,89137,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-06-18 00:00:00,562,1,PCE,SYN-ORD-713429,SYN-EX-06
Poland,WFG-PO-03,87760,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2024-11-05 00:00:00,566,1,PCE,SYN-ORD-937065,SYN-EX-07
Italy,WFG-IT-03,86358,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-08-02 00:00:00,566,1,PCE,SYN-ORD-746334,SYN-EX-08
Turkey,WFG-TU-03,87795,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2021-09-06 00:00:00,568,1,PCE,SYN-ORD-700084,SYN-EX-02
France,WFG-FR-02,90267,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-07-16 00:00:00,569,1,PCE,SYN-ORD-767602,SYN-EX-06
Germany,WFG-GE-03,88651,GAMMA,N149,4500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2023-01-15 00:00:00,571,1,PCE,SYN-ORD-863943,SYN-EX-06
Greece,WFG-GR-03,88991,DELTA,N131,3600,Main Bearing,BRG-2208,Main bearing assembly,2020-04-13 00:00:00,572,2,PCE,SYN-ORD-833849,SYN-EX-06
Turkey,WFG-TU-03,88941,GAMMA,N149,4500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2024-11-14 00:00:00,572,1,PCE,SYN-ORD-840021,SYN-EX-02
France,WFG-FR-02,90634,SIGMA,N90,2500,Generator,GEN-5210,Generator control module,2020-09-10 00:00:00,573,1,PCE,SYN-ORD-867087,SYN-EX-08
France,WFG-FR-02,88008,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2025-04-03 00:00:00,573,1,PCE,SYN-ORD-824657,SYN-EX-05
United Kingdom,WFG-UN-03,86339,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-07-02 00:00:00,573,1,PCE,SYN-ORD-925387,SYN-EX-06
Germany,WFG-GE-03,87821,SIGMA,N100,2500,Hydraulic Unit,HYD-2201,Hydraulic pitch unit,2017-10-04 00:00:00,574,1,PCE,SYN-ORD-955469,SYN-EX-03
Sweden,WFG-SW-03,90006,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2017-04-26 00:00:00,574,2,PCE,SYN-ORD-806091,SYN-EX-02
Portugal,WFG-PO-03,87520,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2018-02-13 00:00:00,574,1,PCE,SYN-ORD-871979,SYN-EX-03
Italy,WFG-IT-03,87536,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2025-04-12 00:00:00,576,2,PCE,SYN-ORD-791842,SYN-EX-08
Turkey,WFG-TU-03,87590,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-09-05 00:00:00,576,1,PCE,SYN-ORD-820099,SYN-EX-06
United Kingdom,WFG-UN-03,88087,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-08-21 00:00:00,577,1,PCE,SYN-ORD-936130,SYN-EX-03
United Kingdom,WFG-UN-03,89372,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-10-19 00:00:00,577,1,PCE,SYN-ORD-754558,SYN-EX-03
United Kingdom,WFG-UN-03,89930,SIGMA,N100,2500,Main Bearing,BRG-2208,Main bearing assembly,2017-01-31 00:00:00,579,2,PCE,SYN-ORD-784872,SYN-EX-06
Germany,WFG-GE-03,90452,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-11-03 00:00:00,579,1,PCE,SYN-ORD-718639,SYN-EX-05
Turkey,WFG-TU-03,88053,DELTA,N125,3000,Gearbox,GBX-2044,Gearbox service component,2023-04-01 00:00:00,580,1,PCE,SYN-ORD-750150,SYN-EX-05
Germany,WFG-GE-03,87360,DELTA,N131,3600,Generator,GEN-5210,Generator control module,2019-01-23 00:00:00,581,2,PCE,SYN-ORD-934139,SYN-EX-05
USA,WFG-US-03,87453,GAMMA,N149,4500,Gearbox,GBX-2044,Gearbox service component,2021-04-01 00:00:00,581,1,PCE,SYN-ORD-906467,SYN-EX-07
France,WFG-FR-02,86778,GAMMA,N149,4500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-11-10 00:00:00,581,1,PCE,SYN-ORD-813329,SYN-EX-04
Germany,WFG-GE-03,88883,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2020-08-21 00:00:00,581,1,PCE,SYN-ORD-945288,SYN-EX-09
Germany,WFG-GE-03,88144,SIGMA,N100,2500,Yaw System,YAW-3301,Yaw drive frequency converter,2017-07-06 00:00:00,582,1,PCE,SYN-ORD-830306,SYN-EX-08
United Kingdom,WFG-UN-03,88746,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2022-02-11 00:00:00,582,2,PCE,SYN-ORD-918796,SYN-EX-01
Germany,WFG-GE-03,88521,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2025-04-18 00:00:00,584,1,PCE,SYN-ORD-729359,SYN-EX-06
South Africa,WFG-SO-03,90205,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2019-10-04 00:00:00,586,1,PCE,SYN-ORD-882117,SYN-EX-02
United Kingdom,WFG-UN-03,90071,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2018-05-27 00:00:00,587,1,PCE,SYN-ORD-984995,SYN-EX-02
France,WFG-FR-02,88783,GAMMA,N149,4500,Main Bearing,BRG-2208,Main bearing assembly,2019-03-28 00:00:00,587,1,PCE,SYN-ORD-940583,SYN-EX-03
United Kingdom,WFG-UN-03,87231,SIGMA,N100,2500,Gearbox,GBX-2044,Gearbox service component,2022-12-21 00:00:00,588,1,PCE,SYN-ORD-851348,SYN-EX-07
Germany,WFG-GE-03,88618,SIGMA,N90,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2017-11-21 00:00:00,588,1,PCE,SYN-ORD-963331,SYN-EX-08
Croatia,WFG-CR-03,86374,GAMMA,N149,4500,Generator,GEN-5210,Generator control module,2021-08-08 00:00:00,589,1,PCE,SYN-ORD-712574,SYN-EX-03
USA,WFG-US-03,90260,DELTA,N131,3600,Yaw System,YAW-3301,Yaw drive frequency converter,2021-05-10 00:00:00,593,1,PCE,SYN-ORD-916242,SYN-EX-08
Poland,WFG-PO-03,87281,DELTA,N131,3600,Yaw System,YAW-4402,Yaw drive frequency converter,2023-01-14 00:00:00,593,1,PCE,SYN-ORD-731464,SYN-EX-06
Germany,WFG-GE-03,88970,SIGMA,N90,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2021-04-12 00:00:00,594,1,PCE,SYN-ORD-823013,SYN-EX-09
USA,WFG-US-03,87527,SIGMA,N100,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2021-11-17 00:00:00,595,1,PCE,SYN-ORD-833939,SYN-EX-08
USA,WFG-US-03,89154,DELTA,N131,3600,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2023-06-16 00:00:00,596,1,PCE,SYN-ORD-945370,SYN-EX-04
Norway,WFG-NO-03,90418,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2019-07-21 00:00:00,596,1,PCE,SYN-ORD-942283,SYN-EX-07
United Kingdom,WFG-UN-03,87723,SIGMA,N100,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2015-12-07 00:00:00,596,1,PCE,SYN-ORD-835179,SYN-EX-03
Turkey,WFG-TU-03,90399,SIGMA,N100,2500,Hydraulic Unit,HYD-3104,Hydraulic pitch unit,2018-05-05 00:00:00,597,1,PCE,SYN-ORD-790368,SYN-EX-09
